3.20e+01,-6.86e+00,-3.99e+00,-3.99e+00,7.50e+01,6.50e+02
6.40e+01,-6.15e+00,-3.99e+00,-3.99e+00,7.50e+01,6.50e+02
9.60e+01,-6.01e+00,-3.99e+00,-3.99e+00,7.50e+01,6.50e+02
1.28e+02,-5.92e+00,-3.99e+00,-3.99e+00,7.50e+01,6.50e+02
1.60e+02,-4.82e+00,-3.98e+00,-3.98e+00,7.50e+01,6.50e+02
1.92e+02,-5.11e+00,-3.58e+00,-3.58e+00,7.50e+01,6.50e+02
2.24e+02,-4.50e+00,-3.58e+00,-3.58e+00,7.50e+01,6.50e+02
2.56e+02,-4.65e+00,-3.48e+00,-3.48e+00,7.50e+01,6.50e+02
2.88e+02,-4.34e+00,-3.41e+00,-3.41e+00,7.50e+01,6.50e+02
3.20e+02,-4.24e+00,-3.39e+00,-3.39e+00,7.50e+01,6.50e+02
3.52e+02,-4.25e+00,-3.39e+00,-3.39e+00,7.50e+01,6.50e+02
3.84e+02,-4.32e+00,-3.25e+00,-3.25e+00,7.50e+01,6.50e+02
4.16e+02,-3.86e+00,-2.94e+00,-2.94e+00,7.50e+01,6.50e+02
4.48e+02,-3.99e+00,-2.94e+00,-2.94e+00,7.50e+01,6.50e+02
4.80e+02,-3.79e+00,-2.74e+00,-2.74e+00,7.50e+01,6.50e+02
5.12e+02,-3.69e+00,-2.74e+00,-2.74e+00,7.50e+01,6.50e+02
5.44e+02,-3.82e+00,-2.69e+00,-2.69e+00,7.50e+01,6.50e+02
5.76e+02,-3.75e+00,-2.69e+00,-2.69e+00,7.50e+01,6.50e+02
6.08e+02,-3.74e+00,-2.69e+00,-2.69e+00,7.50e+01,6.50e+02
6.40e+02,-3.62e+00,-2.69e+00,-2.69e+00,7.50e+01,6.50e+02
6.72e+02,-3.50e+00,-2.69e+00,-2.69e+00,7.50e+01,6.50e+02
7.04e+02,-3.31e+00,-2.58e+00,-2.58e+00,7.50e+01,6.50e+02
7.36e+02,-3.36e+00,-2.58e+00,-2.58e+00,7.50e+01,6.50e+02
7.68e+02,-3.42e+00,-2.58e+00,-2.58e+00,7.50e+01,6.50e+02
8.00e+02,-3.46e+00,-2.58e+00,-2.58e+00,7.50e+01,6.50e+02
8.32e+02,-3.28e+00,-2.58e+00,-2.58e+00,7.50e+01,6.50e+02
8.64e+02,-3.32e+00,-2.58e+00,-2.58e+00,7.50e+01,6.50e+02
8.96e+02,-3.47e+00,-2.58e+00,-2.58e+00,7.50e+01,6.50e+02
9.28e+02,-3.24e+00,-2.55e+00,-2.55e+00,7.50e+01,6.50e+02
9.60e+02,-3.44e+00,-2.55e+00,-2.55e+00,7.50e+01,6.50e+02
9.92e+02,-3.38e+00,-2.55e+00,-2.55e+00,7.50e+01,6.50e+02
1.02e+03,-3.24e+00,-2.55e+00,-2.55e+00,7.50e+01,6.50e+02
1.06e+03,-3.20e+00,-2.38e+00,-2.38e+00,7.50e+01,6.50e+02
1.09e+03,-3.28e+00,-2.38e+00,-2.38e+00,7.50e+01,6.50e+02
1.12e+03,-3.46e+00,-2.38e+00,-2.38e+00,7.50e+01,6.50e+02
1.15e+03,-3.53e+00,-2.38e+00,-2.38e+00,7.50e+01,6.50e+02
1.18e+03,-3.28e+00,-2.38e+00,-2.38e+00,7.50e+01,6.50e+02
1.22e+03,-3.48e+00,-2.38e+00,-2.38e+00,7.50e+01,6.50e+02
1.25e+03,-3.32e+00,-2.29e+00,-2.29e+00,7.50e+01,6.50e+02
1.28e+03,-3.26e+00,-2.29e+00,-2.29e+00,7.50e+01,6.50e+02
